latitude,longitude,chain,tractnum,ntanum
40.7578452223976,-73.9711375036653,Au Bon Pain,6,21
40.7642734,-73.9552314,Au Bon Pain,1354,148
40.75374,-73.97456,Hale And Hearty,1006,21
40.78591,-73.97812,Hale And Hearty,1317,99
40.7655177451256,-73.9655730995432,Hale And Hearty,852,76
40.76052,-73.982841,Hale And Hearty,745,20
40.7655177451256,-73.9655730995432,Hale And Hearty,852,76
40.7588558,-73.9708332,Hale And Hearty,6,21
40.7653899,-73.98408,Hale And Hearty,795,13
40.7403,-73.98736,Hale And Hearty,769,104
40.753369,-73.977066,Hale And Hearty,1006,21
40.7376081776157,-73.9912784099579,Hale And Hearty,1544,104
40.7099304,-74.0065994,Hale And Hearty,1135,40
40.755249,-73.9885101,Hale And Hearty,12,20
40.7275238,-74.007103,Hale And Hearty,1686,121
40.748047,-73.992401,Hale And Hearty,939,20
40.754735908928,-73.983294019969,Hale And Hearty,4,20
40.7442987,-73.9836641,Hale And Hearty,1294,20
40.7554338,-73.9782714,Hale And Hearty,1005,20
40.7798759898589,-73.9528483005278,Hale And Hearty,17,72
40.7414320562229,-73.9938674375998,Hale And Hearty,946,104
40.7504501,-73.9765701,Hale And Hearty,1120,82
40.7798759898589,-73.9528483005278,Hale And Hearty,17,72
40.728893,-74.001083,Red Mango,1052,105
40.7368815690279,-73.9955860376358,Red Mango,946,104
40.759465098381,-73.9882273972034,Red Mango,944,13
40.741989,-73.993126,Red Mango,2075,104
40.748165,-73.987297,Red Mango,1518,20
40.745735,-73.977699,Red Mango,1138,82
40.729252,-73.988586,Red Mango,1161,124
40.729252,-73.988586,Red Mango,1161,124
40.7096953,-74.0064982,Red Mango,1135,40
40.720508,-73.990112,Red Mango,1726,122
40.720508,-73.990112,Red Mango,1726,122
40.788311,-73.953018,Red Mango,2037,77
40.7477035522461,-73.9862289428711,Red Mango,1518,20
40.7322386652231,-73.9816204458475,Red Mango,2104,125
40.7545921917414,-73.97725045681,Red Mango,1005,20
40.759263,-73.980515,Red Mango,8,20
40.7188990005913,-73.9967320114374,Red Mango,1727,121
40.744911,-73.990761,Red Mango,2075,104
40.770622333403,-73.9852030477153,Red Mango,1071,100
40.7472686767578,-73.9738082885742,Red Mango,1138,82
40.7373137852646,-73.9964544533357,Red Mango,946,104
40.7258758544922,-73.9892883300781,Red Mango,1161,124
40.7188990005913,-73.9967320114374,Red Mango,1727,121
40.7537182,-73.9691698,Red Mango,1134,21
40.7537182,-73.9691698,Red Mango,1134,21
40.7497131,-73.9917198,Red Mango,742,20
40.744922,-73.99826,Red Mango,2084,104
40.72767,-74.00708,Red Mango,1686,121
40.752956,-73.986686,Red Mango,12,20
40.744922,-73.99826,Red Mango,2084,104
40.77802,-73.95393,Equinox,16,72
40.76844,-73.98273,Equinox,1071,100
40.71412,-74.00981,Equinox,1998,121
40.7541695,-73.9798279,Equinox,1005,20
40.745872,-73.981491,Equinox,1293,82
40.7437757,-74.0068286,Equinox,1078,104
40.78152,-73.97975,Equinox,1477,99
40.77052,-73.95746,Equinox,999,148
40.737495,-74.002037,Equinox,2098,105
40.724095297412,-73.99701153213,Equinox,1160,121
40.7541695,-73.9798279,Equinox,1005,20
40.762163,-73.98456,Equinox,1027,20
40.7919578552246,-73.9743347167969,Equinox,1318,99
40.75732421875,-73.9671478271484,Equinox,5,21
40.7437757,-74.0068286,Equinox,1078,104
40.76844,-73.98273,Equinox,1071,100
40.70763,-74.010757,Equinox,1368,40
40.7919578552246,-73.9743347167969,Equinox,1318,99
40.7389916382769,-73.9899986684418,Equinox,1544,104
40.724095297412,-73.99701153213,Equinox,1160,121
40.76844,-73.98273,Equinox,1071,100
40.724095297412,-73.99701153213,Equinox,1160,121
40.75732421875,-73.9671478271484,Equinox,5,21
40.7541695,-73.9798279,Equinox,1005,20
40.77802,-73.95393,Equinox,16,72
40.71412,-74.00981,Equinox,1998,121
40.7527008,-73.975853,Equinox,1006,21
40.76439,-73.9662,Equinox,13,76
40.762163,-73.98456,Equinox,1027,20
40.77802,-73.95393,Equinox,16,72
40.7541695,-73.9798279,Equinox,1005,20
40.7389916382769,-73.9899986684418,Equinox,1544,104
40.78152,-73.97975,Equinox,1477,99
40.745872,-73.981491,Equinox,1293,82
40.7919578552246,-73.9743347167969,Equinox,1318,99
